"id","category","subcategory","difficulty","difficultyStars","question","options","correctAnswer","explanation","reflection","totalCount","answerCounts"
11,"과학","화학",3,"★★★☆☆","물의 화학식은 무엇입니까?","[""CO2"",""H2O"",""O2"",""NaCl""]",1,"물은 수소 원자 2개와 산소 원자 1개로 구성된 H2O입니다.","가장 평범한 것 속에 가장 큰 비밀이 있습니다.",0,"[0,0,0,0,0]"
12,"역사","한국사",2,"★★☆☆☆","광복절은 몇 월 며칠입니까?","[""3월 1일"",""8월 15일"",""10월 3일"",""12월 25일""]",1,"광복절은 8월 15일로 일제강점기 해방을 기념하는 국경일입니다.","자유는 수많은 이들의 희생 위에 피어납니다.",0,"[0,0,0,0,0]"
13,"지리","세계지리",2,"★★☆☆☆","나일강이 흐르는 대륙은 어디입니까?","[""아시아"",""아프리카"",""유럽"",""남아메리카""]",1,"나일강은 길이 6,650km로 아프리카 대륙의 세계 최장 강입니다.","강은 대륙의 생명줄이자 문명의 시작입니다.",0,"[0,0,0,0,0]"
14,"문학","한국문학",5,"★★★★★","'토지'의 작가는 누구입니까?","[""박경리"",""이문열"",""김동인"",""최인훈""]",0,"박경리가 25년간 집필한 16권 분량의 대하소설입니다.","한 권의 책이 한 시대의 영혼을 담습니다.",0,"[0,0,0,0,0]"
15,"스포츠","야구",2,"★★☆☆☆","한국 프로야구(KBO) 리그가 처음 시작된 해는?","[""1982년"",""1990년"",""1975년"",""2000년""]",0,"한국 프로야구는 1982년 3월 27일 6개 팀으로 출발했습니다.","경쟁과 열정이 모여 새로운 역사를 만듭니다.",0,"[0,0,0,0,0]"
16,"과학","천문학",3,"★★★☆☆","태양계에서 가장 큰 행성은 무엇입니까?","[""지구"",""목성"",""토성"",""화성""]",1,"목성은 지름 14만 km로 지구의 11배인 최대 행성입니다.","우주의 크기 앞에서 우리는 언제나 겸손해집니다.",0,"[0,0,0,0,0]"
17,"역사","세계사",4,"★★★★☆","제2차 세계대전이 끝난 해는?","[""1945년"",""1939년"",""1950년"",""1960년""]",0,"제2차 세계대전은 1945년 독일과 일본 항복으로 종료되었습니다.","전쟁의 끝은 평화의 시작입니다.",0,"[0,0,0,0,0]"
18,"지리","한국지리",1,"★☆☆☆☆","한반도의 최남단에 위치한 섬은?","[""울릉도"",""제주도"",""독도"",""거제도""]",1,"제주도는 면적 1,849km²로 한반도 최남단 최대 섬입니다.","섬은 바다와 하늘의 이야기를 품고 있습니다.",0,"[0,0,0,0,0]"
19,"문학","세계문학",2,"★★☆☆☆","'로미오와 줄리엣'을 쓴 작가는?","[""찰스 디킨스"",""윌리엄 셰익스피어"",""조지 오웰"",""어니스트 헤밍웨이""]",1,"셰익스피어가 1595년경 쓴 세계적 비극 사랑 이야기입니다.","사랑은 시대와 국경을 넘어 마음을 울립니다.",0,"[0,0,0,0,0]"
20,"스포츠","농구",3,"★★★☆☆","NBA 역사상 한 시즌 최다 득점 기록을 보유한 선수는?","[""마이클 조던"",""윌트 체임벌린"",""코비 브라이언트"",""카림 압둘자바""]",1,"윌트 체임벌린이 1961-62 시즌 평균 50.4득점으로 불멸의 기록을 세웠습니다.","기록은 한계를 뛰어넘는 도전의 결과입니다.",0,"[0,0,0,0,0]"
21,"과학","지구과학",1,"★☆☆☆☆","지구의 위성은 무엇입니까?","[""화성"",""달"",""금성"",""목성""]",1,"달은 지구로부터 38만 4천 km 떨어진 유일한 자연위성입니다.","밤하늘의 달은 늘 우리 곁에 있습니다.",0,"[0,0,0,0,0]"
22,"역사","한국사",4,"★★★★☆","신라의 삼국 통일을 이끈 왕은?","[""문무왕"",""진흥왕"",""선덕여왕"",""태종무열왕""]",3,"태종무열왕이 시작하고 문무왕이 완성한 한반도 최초 통일사업입니다.","통일의 길은 어렵지만 새로운 시작입니다.",0,"[0,0,0,0,0]"
23,"지리","세계지리",2,"★★☆☆☆","세계에서 가장 긴 강은?","[""아마존강"",""나일강"",""양쯔강"",""미시시피강""]",1,"나일강은 길이 6,650km로 세계에서 가장 긴 강입니다.","강은 대륙의 숨결이자 문명의 시작입니다.",0,"[0,0,0,0,0]"
24,"문학","한국문학",3,"★★★☆☆","'광장'을 쓴 작가는?","[""최인훈"",""박완서"",""이문열"",""김훈""]",0,"최인훈이 1960년 발표한 분단 현실을 다룬 대표작입니다.","광장은 우리 모두의 마음속에 있습니다.",0,"[0,0,0,0,0]"
25,"스포츠","수영",2,"★★☆☆☆","한국 최초의 올림픽 금메달리스트는?","[""박태환"",""양정모"",""김연아"",""이봉주""]",1,"양정모는 1976년 몬트리올 올림픽 레슬링에서 첫 금메달을 획득했습니다.","최초의 도전은 언제나 특별합니다.",0,"[0,0,0,0,0]"
26,"과학","물리학",5,"★★★★★","상대성 이론을 발표한 과학자는?","[""아이작 뉴턴"",""알베르트 아인슈타인"",""마리 퀴리"",""스티븐 호킹""]",1,"아인슈타인은 1905년 특수상대성이론과 1915년 일반상대성이론을 발표했습니다.","혁신은 기존의 틀을 깨는 데서 시작됩니다.",0,"[0,0,0,0,0]"
27,"역사","세계사",2,"★★☆☆☆","미국의 독립선언이 발표된 해는?","[""1776년"",""1789년"",""1804년"",""1492년""]",0,"미국 독립선언은 1776년 7월 4일 13개 식민지가 발표했습니다.","독립은 자유를 향한 첫걸음입니다.",0,"[0,0,0,0,0]"
28,"지리","한국지리",3,"★★★☆☆","한라산이 위치한 도는?","[""경상남도"",""강원도"",""제주도"",""전라남도""]",2,"한라산은 높이 1,947m로 제주도 중앙에 위치한 최고봉입니다.","산은 땅의 기운과 사람의 의지를 닮았습니다.",0,"[0,0,0,0,0]"
29,"문학","세계문학",1,"★☆☆☆☆","'해리 포터' 시리즈의 작가는?","[""J.K. 롤링"",""스티븐 킹"",""조지 R.R. 마틴"",""댄 브라운""]",0,"J.K. 롤링이 쓴 전 세계 5억 부 판매 판타지 소설입니다.","상상력은 새로운 세계를 여는 열쇠입니다.",0,"[0,0,0,0,0]"
30,"스포츠","육상",4,"★★★★☆","100m 달리기 세계 기록 보유자는?","[""우사인 볼트"",""카를 루이스"",""저스틴 개틀린"",""타이슨 게이""]",0,"우사인 볼트는 2009년 9초 58 세계기록을 세운 최고 스프린터입니다.","한계는 깨지기 위해 존재합니다.",0,"[0,0,0,0,0]"
31,"과학","생물학",1,"★☆☆☆☆","식물의 광합성에 필요한 기체는?","[""산소"",""이산화탄소"",""질소"",""수소""]",1,"광합성은 이산화탄소와 물로 포도당을 만들고 산소를 방출합니다.","자연의 순환은 보이지 않는 곳에서 이루어집니다.",0,"[0,0,0,0,0]"
32,"역사","한국사",5,"★★★★★","훈민정음을 창제한 왕은?","[""세종대왕"",""태종"",""문종"",""성종""]",0,"세종대왕이 1443년 창제하고 1446년 반포한 과학적 표음문자입니다.","문자는 소통의 시작이자 문화의 뿌리입니다.",0,"[0,0,0,0,0]"
33,"지리","세계지리",3,"★★★☆☆","오스트레일리아의 수도는?","[""시드니"",""멜버른"",""캔버라"",""브리즈번""]",2,"캔버라는 1927년 공식 수도가 된 시드니와 멜버른 사이 계획도시입니다.","수도는 나라의 심장이자 역사의 중심입니다.",0,"[0,0,0,0,0]"
34,"문학","한국문학",2,"★★☆☆☆","'메밀꽃 필 무렵'의 작가는?","[""이효석"",""김유정"",""박인환"",""이상""]",0,"이효석이 1936년 발표한 향토적 서정성이 아름다운 단편소설입니다.","자연의 풍경은 마음의 풍경이 되기도 합니다.",0,"[0,0,0,0,0]"
35,"스포츠","축구",3,"★★★☆☆","2002년 한일 월드컵에서 한국이 4강에서 만난 팀은?","[""독일"",""브라질"",""스페인"",""이탈리아""]",0,"한국은 4강에서 독일에 0-1로 패했지만 아시아 최초 4강 신화를 썼습니다.","도전의 끝에는 언제나 새로운 역사가 기다립니다.",0,"[0,0,0,0,0]"
36,"과학","화학",4,"★★★★☆","원자번호 1번 원소는?","[""헬륨"",""수소"",""산소"",""탄소""]",1,"수소는 원자번호 1번으로 우주에서 가장 많은 원소입니다.","작은 시작이 우주의 모든 것을 만듭니다.",0,"[0,0,0,0,0]"
37,"역사","세계사",1,"★☆☆☆☆","이집트의 대표적인 고대 건축물은?","[""콜로세움"",""피라미드"",""만리장성"",""타지마할""]",1,"피라미드는 파라오 무덤으로 건설된 고대 세계 유일 현존 불가사의입니다.","인류의 꿈은 돌 위에도 새겨집니다.",0,"[0,0,0,0,0]"
38,"지리","한국지리",2,"★★☆☆☆","대한민국에서 가장 긴 강은?","[""한강"",""낙동강"",""금강"",""섬진강""]",1,"낙동강은 총 길이 525km로 태백에서 부산까지 흐르는 최장 강입니다.","강은 땅을 가르고 사람을 이어줍니다.",0,"[0,0,0,0,0]"
39,"문학","세계문학",5,"★★★★★","'1984'를 쓴 작가는?","[""조지 오웰"",""프란츠 카프카"",""알베르 카뮈"",""어니스트 헤밍웨이""]",0,"조지 오웰이 1948년 발표한 전체주의 비판 디스토피아 소설입니다.","미래를 상상하는 힘이 오늘을 바꿉니다.",0,"[0,0,0,0,0]"
40,"스포츠","빙상",2,"★★☆☆☆","피겨스케이팅에서 올림픽 금메달을 딴 한국 선수는?","[""박승희"",""이상화"",""김연아"",""최민정""]",2,"김연아는 2010년 밴쿠버 올림픽에서 세계기록으로 금메달을 획득했습니다.","노력의 결실은 빙판 위에서도 빛납니다.",0,"[0,0,0,0,0]"
41,"과학","천문학",3,"★★★☆☆","지구에서 가장 가까운 별은?","[""시리우스"",""알파 센타우리"",""태양"",""베텔게우스""]",2,"태양은 지구로부터 1억 5천만 km 떨어진 가장 가까운 별입니다.","가장 가까운 것의 소중함을 잊지 마세요.",0,"[0,0,0,0,0]"
42,"역사","한국사",2,"★★☆☆☆","삼일절은 어떤 사건을 기념합니까?","[""광복"",""임진왜란"",""3.1운동"",""6.25전쟁""]",2,"삼일절은 1919년 3월 1일 전국 200만 명이 참여한 독립운동을 기념합니다.","자유와 독립을 향한 외침은 사라지지 않습니다.",0,"[0,0,0,0,0]"
43,"지리","세계지리",4,"★★★★☆","세계에서 가장 높은 산은?","[""에베레스트"",""킬리만자로"",""알프스"",""로키산맥""]",0,"에베레스트산은 해발 8,848.86m로 히말라야 산맥 최고봉입니다.","정상은 멀고 험하지만 특별한 풍경이 있습니다.",0,"[0,0,0,0,0]"
44,"문학","한국문학",1,"★☆☆☆☆","'동백꽃'의 작가는?","[""이상"",""김유정"",""박인환"",""이효석""]",1,"김유정이 1936년 발표한 해학적 시골 청춘 사랑 이야기입니다.","작은 꽃에도 인생의 이야기가 담겨 있습니다.",0,"[0,0,0,0,0]"
45,"스포츠","배구",3,"★★★☆☆","한국 여자배구의 레전드로 불리는 선수는?","[""김연경"",""박정아"",""양효진"",""한송이""]",0,"김연경은 두 번의 올림픽 4강을 이끈 한국 배구 레전드입니다.","팀워크와 열정이 코트 위에서 빛을 발합니다.",0,"[0,0,0,0,0]"
46,"과학","화학",2,"★★☆☆☆","소금의 화학식은?","[""NaCl"",""KCl"",""H2SO4"",""CO2""]",0,"소금은 나트륨과 염소가 이온결합한 염화나트륨 NaCl입니다.","일상 속의 과학이 세상을 더 풍요롭게 만듭니다.",0,"[0,0,0,0,0]"
47,"역사","세계사",5,"★★★★★","로마 제국의 멸망 연도는?","[""476년"",""1066년"",""1492년"",""1453년""]",0,"서로마 제국은 476년 오도아케르에 의해 마지막 황제가 폐위되며 멸망했습니다.","한 제국의 끝은 또 다른 역사의 시작입니다.",0,"[0,0,0,0,0]"
48,"지리","한국지리",2,"★★☆☆☆","대한민국의 가장 동쪽에 위치한 섬은?","[""울릉도"",""독도"",""제주도"",""거제도""]",1,"독도는 동경 131도 52분에 위치한 우리나라 최동단 섬입니다.","작은 섬 하나도 소중한 우리 땅입니다.",0,"[0,0,0,0,0]"
49,"문학","세계문학",2,"★★☆☆☆","'동물농장'을 쓴 작가는?","[""조지 오웰"",""어니스트 헤밍웨이"",""마크 트웨인"",""찰스 디킨스""]",0,"조지 오웰이 1945년 발표한 스탈린 체제 비판 우화소설입니다.","풍자는 세상을 바라보는 또 다른 시선입니다.",0,"[0,0,0,0,0]"
50,"스포츠","골프",4,"★★★★☆","한국인 최초로 PGA 투어 우승을 차지한 선수는?","[""최경주"",""박세리"",""양용은"",""김시우""]",0,"최경주는 2002년 컴팩 클래식에서 한국인 최초 PGA 투어 우승했습니다.","도전은 새로운 역사를 만듭니다.",0,"[0,0,0,0,0]"
